"2294","4","down","flat","up"
"5038.60","5006.80","5007.00","4922.20","2"
"5088.40","5020.90","5014.50","4929.20","1"
"5112.30","5039.20","5022.30","4936.00","1"
"5122.50","5055.90","5032.00","4941.80","1"
"5127.00","5075.00","5039.60","4947.70","1"
"5133.50","5099.50","5046.70","4953.10","1"
"5139.80","5118.20","5054.60","4958.40","1"
"5143.50","5129.50","5062.50","4964.10","2"
"5171.70","5142.00","5070.10","4970.20","1"
"5194.80","5153.10","5077.80","4976.30","1"
"5206.70","5166.10","5085.10","4983.70","0"
"5190.60","5171.30","5089.20","4989.80","1"
"5156.20","5172.50","5096.60","4996.70","2"
"5165.10","5178.50","5102.80","5004.80","2"
"5210.20","5191.60","5114.30","5013.30","1"
"5230.50","5195.30","5125.90","5022.30","2"
"5238.10","5203.90","5138.10","5032.40","0"
"5230.50","5202.10","5148.80","5041.50","1"
"5213.40","5210.50","5161.40","5050.10","1"
"5221.70","5220.80","5172.10","5057.00","0"
"5198.70","5220.10","5177.40","5061.40","1"
"5182.60","5212.90","5181.50","5066.50","0"
"5151.40","5197.50","5181.30","5069.70","1"
"5098.90","5173.20","5179.20","5071.50","1"
"5093.90","5158.40","5178.00","5075.00","1"
"5099.30","5140.60","5175.70","5078.10","2"
"5127.10","5131.40","5176.70","5082.60","2"
"5182.50","5135.90","5179.60","5088.00","2"
"5229.60","5144.80","5182.50","5095.20","0"
"5236.90","5160.40","5183.90","5100.50","1"
"5228.40","5181.80","5184.70","5107.00","1"
"5243.80","5203.20","5189.20","5112.90","0"
"5232.90","5220.00","5192.40","5117.90","1"
"5201.00","5224.30","5192.80","5123.00","2"
"5214.80","5229.20","5192.80","5128.40","0"
"5217.60","5220.90","5191.50","5132.20","2"
"5213.80","5222.60","5190.40","5137.30","2"
"5260.10","5229.90","5194.40","5143.20","1"
"5284.40","5234.20","5197.50","5148.00","1"
"5297.30","5248.30","5202.00","5153.50","0"
"5295.20","5261.20","5207.20","5157.50","1"
"5270.60","5264.30","5210.80","5161.20","0"
"5206.70","5258.00","5212.70","5164.20","0"
"5107.70","5233.90","5211.70","5164.30","1"
"5073.30","5204.70","5210.60","5165.80","0"
"5001.00","5153.00","5201.80","5164.40","1"
"4914.50","5095.30","5189.40","5162.40","2"
"4926.60","5047.60","5176.30","5161.40","0"
"4879.00","4983.40","5154.30","5158.30","2"
"4872.50","4952.20","5139.80","5156.80","0"
"4900.80","4924.30","5121.50","5152.80","2"
"4909.80","4905.50","5106.40","5149.60","2"
"4997.30","4923.30","5098.00","5148.20","1"
