2294,4,down,flat,up
"5038,6","5006,8",5007,"4922,2",2
"5088,4","5020,9","5014,5","4929,2",1
"5112,3","5039,2","5022,3",4936,1
"5122,5","5055,9",5032,"4941,8",1
5127,5075,"5039,6","4947,7",1
"5133,5","5099,5","5046,7","4953,1",1
"5139,8","5118,2","5054,6","4958,4",1
"5143,5","5129,5","5062,5","4964,1",2
"5171,7",5142,"5070,1","4970,2",1
"5194,8","5153,1","5077,8","4976,3",1
"5206,7","5166,1","5085,1","4983,7",0
"5190,6","5171,3","5089,2","4989,8",1
"5156,2","5172,5","5096,6","4996,7",2
"5165,1","5178,5","5102,8","5004,8",2
"5210,2","5191,6","5114,3","5013,3",1
"5230,5","5195,3","5125,9","5022,3",2
"5238,1","5203,9","5138,1","5032,4",0
"5230,5","5202,1","5148,8","5041,5",1
"5213,4","5210,5","5161,4","5050,1",1
"5221,7","5220,8","5172,1",5057,0
"5198,7","5220,1","5177,4","5061,4",1
"5182,6","5212,9","5181,5","5066,5",0
"5151,4","5197,5","5181,3","5069,7",1
"5098,9","5173,2","5179,2","5071,5",1
"5093,9","5158,4",5178,5075,1
"5099,3","5140,6","5175,7","5078,1",2
"5127,1","5131,4","5176,7","5082,6",2
"5182,5","5135,9","5179,6",5088,2
"5229,6","5144,8","5182,5","5095,2",0
"5236,9","5160,4","5183,9","5100,5",1
"5228,4","5181,8","5184,7",5107,1
"5243,8","5203,2","5189,2","5112,9",0
"5232,9",5220,"5192,4","5117,9",1
5201,"5224,3","5192,8",5123,2
"5214,8","5229,2","5192,8","5128,4",0
"5217,6","5220,9","5191,5","5132,2",2
"5213,8","5222,6","5190,4","5137,3",2
"5260,1","5229,9","5194,4","5143,2",1
"5284,4","5234,2","5197,5",5148,1
"5297,3","5248,3",5202,"5153,5",0
"5295,2","5261,2","5207,2","5157,5",1
"5270,6","5264,3","5210,8","5161,2",0
"5206,7",5258,"5212,7","5164,2",0
"5107,7","5233,9","5211,7","5164,3",1
"5073,3","5204,7","5210,6","5165,8",0
5001,5153,"5201,8","5164,4",1
"4914,5","5095,3","5189,4","5162,4",2
"4926,6","5047,6","5176,3","5161,4",0
4879,"4983,4","5154,3","5158,3",2
"4872,5","4952,2","5139,8","5156,8",0
"4900,8","4924,3","5121,5","5152,8",2
"4909,8","4905,5","5106,4","5149,6",2
"4997,3","4923,3",5098,"5148,2",1
"5030,2","4938,5","5089,3","5145,9",0
"4954,6","4931,3",5072,"5141,3",2
4912,"4947,9","5058,8","5137,1",1
"4938,7","4950,2","5044,5","5133,3",1
"4953,5",4963,"5028,1","5129,5",0
"4937,9","4958,2","5009,8","5123,9",0
4857,"4922,9","4984,1",5116,1
"4811,3","4895,7","4961,4","5108,1",0
"4754,6","4865,7","4932,5","5098,5",2
"4726,3","4842,6","4913,4","5090,9",0
"4745,7","4810,6","4896,3","5081,7",0
"4670,4","4761,7","4873,1","5069,3",1
"4616,5","4718,8","4857,8","5057,2",2
4670,"4708,3","4848,6","5046,6",1
"4709,7","4689,7","4836,1","5036,4",2
4712,"4696,1","4831,9","5026,5",2
"4749,7","4696,4","4823,9","5017,5",1
"4772,6","4703,8","4819,1","5009,5",1
4789,"4730,3","4811,8","5001,7",1
"4810,5","4759,2","4800,4","4995,8",1
"4809,6","4770,2","4789,7","4990,2",0
"4786,4","4781,1","4783,6","4983,5",1
"4772,6","4787,5","4775,8","4977,1",2
"4827,2","4803,3","4772,4","4971,5",2
"4923,2","4830,6","4772,8","4966,7",1
"4973,3","4855,9",4776,"4961,3",1
"4982,3","4879,7","4785,3","4956,5",0
"4952,6","4896,8","4790,1","4950,3",2
"4943,9","4924,7","4804,2","4944,5",1
"4960,1","4950,3","4813,5","4939,3",1
"4968,1","4964,9","4826,5","4935,2",0
"4948,4","4957,5","4841,3","4928,7",1
"4928,1",4952,"4857,6","4923,6",0
"4897,1","4933,2",4864,4916,0
"4816,7","4913,2","4868,3","4905,9",0
"4765,4","4882,2","4869,4","4895,3",1
"4742,3","4850,9","4867,6","4883,7",2
"4790,5","4831,5","4871,2","4875,1",1
"4855,8","4824,5","4874,2","4867,1",0
"4841,8","4806,9","4874,3","4860,5",2
"4866,7","4815,8",4880,"4857,5",1
4924,"4837,5","4888,1","4854,5",1
"4938,1","4865,1","4896,5",4855,2
"4972,1","4903,2","4902,5","4856,8",1
"5014,9","4929,2","4905,7","4858,5",1
5019,"4949,8","4907,1","4862,4",0
"4978,8","4968,3","4905,3","4862,7",2
"4987,2","4984,2","4910,6","4865,9",0
5005,"4991,5","4911,4","4866,6",2
"5012,3","5005,5","4915,8","4866,5",0
"4998,6","4999,1","4914,5","4865,3",1
"4962,1","4990,4","4917,2","4866,8",2
"4996,6","4992,7","4921,3","4868,7",0
"5000,9","4996,7","4927,5","4869,3",1
"4981,1","4990,9","4937,8","4869,8",2
"5016,2","4999,9","4952,6","4872,4",2
5081,"5010,5","4971,6","4878,7",1
"5126,2","5036,4","4986,2",4885,1
"5141,1","5061,6","5000,2","4894,2",1
"5140,3","5077,4",5016,"4901,5",0
"5120,2","5095,7","5025,5","4909,2",1
"5116,5","5116,1","5035,3","4919,4",0
"5105,5","5121,2","5042,3","4928,7",2
"5097,8","5120,9","5047,8","4936,5",1
5112,"5117,2",5052,"4944,8",2
"5129,8","5117,7","5058,9","4953,2",1
"5154,4","5121,2","5069,5",4961,1
"5171,6","5132,4","5077,4","4969,2",1
"5173,9","5137,6","5086,4","4976,4",1
"5174,2",5152,"5093,6","4983,7",1
"5193,3","5164,9","5105,9","4991,8",0
5188,"5173,7","5116,2","4999,8",0
"5144,2",5169,"5120,7","5006,6",0
"5087,8","5154,7","5124,8","5010,2",1
"5066,8","5139,1","5129,2","5012,4",1
"5065,9","5123,9","5129,8","5013,9",2
"5092,1","5115,7","5130,4","5016,8",1
5132,"5106,3","5130,4","5021,1",1
"5130,9","5099,3","5129,3","5024,2",1
"5134,4","5103,5","5129,8","5028,1",1
"5145,9","5115,9","5131,9","5031,4",0
"5131,5",5122,"5131,3","5035,4",2
"5154,4","5141,2","5136,8","5040,4",1
"5200,5",5153,"5141,6","5047,5",0
"5175,1","5153,5","5143,1","5054,7",1
"5144,2","5156,8",5143,"5062,7",2
5183,"5167,4",5146,"5072,4",1
"5231,3","5181,2",5149,"5080,3",1
"5246,6","5200,3","5153,2",5088,1
5250,"5208,5","5156,6","5096,6",1
"5246,6","5213,5","5158,6","5103,2",1
"5231,5","5224,6","5160,9","5108,9",2
"5238,2","5240,3",5168,"5115,2",2
